Title,Type,Price,Bedrooms,Bathrooms,Area,Verified
"Apartment for sale, immediate delivery, in Fifth Settlement, in a prime location in Galleria Moon Valley Compound, in the heart of New Cairo.",Apartment," 9,230,000.00 ",3,2,153,Verified Business
"Apartment 172 meters For Sale Al Narges Villas, Fifth Settlement",Apartment," 8,000,000.00 ",3,2,172,
"Apartment 360 meters for sale in Al Narges Villas, Fifth Settlement",Apartment," 15,500,000.00 ",5,4,360,
Apartment 60m for investment lovers in New Cairo next to Waterway with Ready Group Over 10Years.,Apartment," 2,500,000.00 ",1,1,60,
"A **prime location apartment** with a **very distinctive view** for sale **in installments over 8 years with no interest**, in **Taj City Compound – F",Apartment," 5,642,000.00 ",2,2,128,Verified Business
"Last floor with renovation priced at a bargain, equipped with AC and kitchen, minutes from Palm Hills and Meveda أخر شقة ريسيل بسعر لقطة متشطبة بالتكيفات والمطبخ دقايق من بالم هيلز و ميفيدا",," 24,600,000.00 ",3,3,205,
شقة 145م متشطبة فووري بكمبوند the address east التجمع الخامس للبيع - كمبوند ادريس ايست,," 7,700,000.00 ",3,2,145,Verified Business
شقة 164م في التجمع الخامس - كمبوند لافيستا الباتيو اورو - أستلام فوري للبيع وبالتقسيط,," 13,800,000.00 ",3,2,164,Verified Business
Finished apartment in Al koronfel with garden at a great price,Apartment," 6,250,000.00 ",3,3,220,
Finished apartment with garden and private entrance for sale in South Academy new cairo,Apartment," 7,500,000.00 ",2,2,210,
"Finished apartment with garden and private entrance, Al َkoronfel Villas, New Cairo",Apartment," 6,700,000.00 ",4,3,250,
شقه متشطبه  بالتكيفات والمطبخ  ريسيل من المالك في ليك فيو Lake view بأقل من سعر الماركت,," 24,600,000.00 ",3,3,205,
"Take advantage of the old price and own a luxury apartment for sale in a prime location in Taj City Compound, directly opposite the airport.",Apartment," 2,526,000.00 ",1,2,58,Verified Business
"Studio apartment for sale with private garden north facing wide garden ready for occupancy or investment, 60 square meters, in Al Rehab 1 - Phase 5 -",Apartment," 4,900,000.00 ",1,1,60,
Her daughter Risil with a low price private sale? wait Arabic: ,," 27,270,000.00 ",4,4,345,
"**Immediate delivery – fully finished apartment for sale in installments** in the **heart of Fifth Settlement, Idris East Compound – New Cairo, Cairo*",Apartment," 6,860,000.00 ",3,3,145,Verified Business
"Roof 200 meters For Sale Al Banafseg Villas, First Settlement",," 5,000,000.00 ",2,2,200,
"Less than the company's price, penthouse shot in Gold Square, minutes from Emaar, instant delivery, ready for viewing",," 27,270,000.00 ",4,4,345,
"Apartment for sale at a special price, ground floor with garden, 191m², in The Square Compound - Mostakbal, immediate delivery",Apartment," 8,800,000.00 ",3,3,191,Verified Business
بنتهاوس ببرايفت بول ريسيل من المالك في ارقي كمبوند في التجمع الخامس دقائق من Mivida و palm hills,," 27,270,000.00 ",4,4,345,
اخر بنتهاوس ريسيل في كمبوند  Lake view ليك فيو استلام فوري بأقل سعر في الماركت,," 27,290,000.00 ",4,4,345,
Apartment for sale with a low down payment 170 sq m lagoon view in Mountain View iCity Compound New Cairo Fifth Settlement 3 bedrooms,Apartment," 7,732,255.00 ",3,3,170,Verified Business
للبيع شقه فى كمبوند المراسم التسعين الشمالى استلام فورى  متشطبه ارضى,," 14,000,000.00 ",2,2,150,
"duplex family house  with garden for sale  275m Hyde Park New Cairo , ready to move , View landscape , near of Mivida",," 15,800,000.00 ",4,4,275,Verified Business
"With a down payment of only 430,000, an apartment is for sale in La Vista Al Patio Riva, Sixth Settlement, next to Zed East and malls, with installmen",Apartment," 8,736,000.00 ",2,2,125,
بسعر لقطه ١٦٩م شقه للبيع النرجس الجديده استلام فوري,," 4,000,000.00 ",3,3,169,
"Immediate delivery apartment for sale at the lowest price, with a comfortable 10-year installment plan, interest-free, in Creek Town Compound, First S",Apartment," 8,905,000.00 ",2,2,140,Verified Business
Super lux finished apartment for sale in el patio oro by la vista ready to deliver,Apartment," 10,000,000.00 ",3,2,168,Verified Business
"duplex family house  with garden for sale  275m Hyde Park New Cairo , ready to move , View landscape , near of Mivida",," 15,800,000.00 ",4,4,275,Verified Business
"With a down payment of only 430,000, an apartment is for sale in La Vista Al Patio Riva, Sixth Settlement, next to Zed East and malls, with installmen",Apartment," 8,736,000.00 ",2,2,125,
بسعر لقطه ١٦٩م شقه للبيع النرجس الجديده استلام فوري,," 4,000,000.00 ",3,3,169,
"Immediate delivery apartment for sale at the lowest price, with a comfortable 10-year installment plan, interest-free, in Creek Town Compound, First S",Apartment," 8,905,000.00 ",2,2,140,Verified Business
Super lux finished apartment for sale in el patio oro by la vista ready to deliver,Apartment," 10,000,000.00 ",3,2,168,Verified Business
"Apartment for sale, ready for immediate occupancy, fully finished to a super deluxe standard, including appliances, air conditioning, and furniture, i",Apartment," 12,000,000.00 ",3,3,186,Verified Business
Apartment For sale Installments In Hyde park New Cairo with Landscape and Club View,Apartment," 8,976,390.00 ",2,3,120,Verified Business
"Apartment for sale in Rehab2,119m with furniture, appliances and air conditioning يُحافظ على أسماء العلامات التجارية كما هي",Apartment," 7,200,000.00 ",3,3,119,
Apartment for sale ready to move in opposite Al Rehab first floor near the Eastern Market original owners in Dar Misr Al Qarnafel - First Settlement,Apartment," 3,800,000.00 ",3,2,130,
Apartment for sale 182 sq m in Fifth Square Compound Lagoon View Al Marasem New Cairo Fifth Settlement Down payment and installments,Apartment," 13,482,000.00 ",3,3,182,Verified Business
"Apartment for sale in Hyde Park Central, Sixth Settlement, next to Zed East and in front of Hyde Park New Cairo, with a down payment of 450,000 and in",Apartment," 9,110,000.00 ",2,3,101,
<translated>,," 25,000,000.00 ",4,2,245,
"Your apartment in Beit Al Watan, District 4 Direct access from Al Ahly Club",Apartment," 4,300,000.00 ",3,3,172,
For sale an apartment in Dar Misr Al-Andalus compound in front of Hyde Park and ninety and steps to the American University للبيع شقه في كمبوند دار مصر الاندلس امام هايد بارك والتسعين وخطوات لجامعه الامريكيه,Apartment," 3,550,000.00 ",3,3,140,
"Apartment for sale, 3 Bedrooms Prime Location Under Market Price in Lake view Residence 2 - New Cairo",Apartment," 16,216,525.00 ",3,4,181,Verified Business
For sale Ground floor Apartment with garden 316 sq m in Al Marasem Compound 3 bedrooms Fifth Square New Cairo Fifth Settlement,Apartment," 18,000,000.00 ",3,3,205,Verified Business
للبيع شقه 180 م استلام فوري في كمبوند بالم هيلز 3 غرف نوم التجمع الخامس القاهرة الجديدة in Palm Hills Fifth Settlement New Cairo,," 8,500,000.00 ",3,3,180,Verified Business
Boulevard Mivida Emaar . . Amazing 191 sqm apartment . . Fully finished . . Ready To Deliver,Apartment," 23,000,000.00 ",3,3,191,Verified Business
Boulevard Mivida Emaar . . Amazing 148 sqm apartment . . Fully finished . . Ready To Deliver,Apartment," 18,000,000.00 ",2,3,148,Verified Business
شقه للبيع في الرحاب غرفتين نوم واتننين حمام قريب للسوق الشرقي,," 5,950,000.00 ",2,2,89,
"Apartment for sale 207m  Hyde Park New Cairo , ready to move , View landscape , near of Mivida",Apartment," 12,300,000.00 ",4,4,207,Verified Business
For sale Ground floor apartment with garden 170 sq m in Al Marasem Compound 3 bedrooms direct view of the landscape Fifth Square New Cairo,Apartment," 13,100,000.00 ",3,3,170,Verified Business
 For Sale – Exceptional Ground Floor Apartment in Al-Rehab City   Phase 1 – Close to services and shopping areas  A great opportunity to live or i,Apartment," 5,600,000.00 ",2,1,90,
"apartment for sale 160m finished Mountain View icity New Cairo , View landscape, near of Palm Hills",Apartment," 7,250,000.00 ",3,3,160,Verified Business
"Apartment for sale, Pool View Fully Finished Ready To Move in Mivida - New Cairo",Apartment," 21,000,000.00 ",3,4,191,Verified Business
"Apartment for sale, Landscape view Ready To Move Special Location with Lowest Price in El Patio Oro - New Cairo",Apartment," 10,000,000.00 ",3,3,200,Verified Business
"Apartment for sale, Pool View Fully Finished 2 Bedrooms Ready To Move Under market price in Mivida - New Cairo",Apartment," 17,425,000.00 ",2,2,148,Verified Business
"Apartment For Sale, Fully Finished Special View Ready To Move In Mivida - New Cairo",Apartment," 18,452,213.00 ",3,3,187,Verified Business
"Apartment For Sale, Fully Finished 289SQM Ready To Move In Mivida - New Cairo",Apartment," 52,000,000.00 ",3,3,289,Verified Business
Penthouse For Sale 300 SQM With Pool Ready To Move In Lake View Residence New Cairo,," 26,000,000.00 ",4,3,300,Verified Business
"Apartment for sale, Ready To Move 160SQM With Garden in District 5 - New Cairo",Apartment," 16,000,000.00 ",2,3,160,Verified Business
"Apartment for sale, Ready To Move 3 Bedrooms Special View in Mountain View ICity - New Cairo",Apartment," 8,500,000.00 ",3,3,175,Verified Business
Apartment 191m 3bd prime location Under Market Price Ready to move Hyde Park New Cairo next to Mivida,Apartment," 9,500,000.00 ",3,3,191,Verified Business
Sukn Misr Andalus Tajamuh Khamis,," 2,200,000.00 ",3,1,106,
"Apartment for sale in Al Andalus District near Mohamed Naguib Axis Fifth Settlement, 230 sqm, 3 bedrooms, 3 bathrooms, semi finished, delivery now.",Apartment," 4,700,000.00 ",3,2,230,
"Apartment for sale in Al Banafseg Buildings near Carrefour and Mohamed Naguib Axis,200 sqm,3 bedrooms,2 bathrooms,ultra super lux finishing new cairo.",Apartment," 6,500,000.00 ",3,2,200,
"apartment for sale 170m Mountain View icity New Cairo , View landscape, near of Palm Hills",Apartment," 6,100,000.00 ",3,3,170,Verified Business
For Sale Penthouse Apartment 316 sq m in Al Marasem Compound 4 Bedrooms Furnished Fifth Square New Cairo Fifth Settlement,Apartment," 25,050,000.00 ",4,4,316,Verified Business
Apartment for Sale in the Heart of New Cairo – Taj City Compound by Madinet Masr for Housing & Development,Apartment," 2,526,500.00 ",1,1,58,
Apartment for Sale in the Heart of New Cairo – Taj City Compound by Madinet Masr for Housing & Development,Apartment," 5,094,500.00 ",3,2,133,
"Apartment for sale with a down payment of 2,508,750 EGP in Palm Hills Compound Fifth Settlement New Cairo",Apartment," 5,688,750.00 ",1,2,70,Verified Business
Penthouse For Sale 170 SQM Super Lux Ready To Move In Mountain View Hyde Park New Cairo,," 11,500,000.00 ",3,3,170,Verified Business
Apartment for Sale in the Heart of New Cairo – Taj City Compound by Madinet Masr for Housing & Development,Apartment," 5,624,500.00 ",2,2,129,
"Life2 Compound, Al Andalus area, Fifth Settlement",," 3,800,000.00 ",3,2,150,
Finished Apartment For sale with garden at the lowest price In Fifth Square Al Marasem New Cairo,Apartment," 11,500,000.00 ",3,3,155,Verified Business
"Apartment for sale with a down payment of 2,508,750 EGP in Palm Hills Compound Fifth Settlement New Cairo",Apartment," 5,688,750.00 ",1,2,70,Verified Business
Penthouse For Sale 170 SQM Super Lux Ready To Move In Mountain View Hyde Park New Cairo,," 11,500,000.00 ",3,3,170,Verified Business
Apartment for Sale in the Heart of New Cairo – Taj City Compound by Madinet Masr for Housing & Development,Apartment," 5,624,500.00 ",2,2,129,
"Life2 Compound, Al Andalus area, Fifth Settlement",," 3,800,000.00 ",3,2,150,
Finished Apartment For sale with garden at the lowest price In Fifth Square Al Marasem New Cairo,Apartment," 11,500,000.00 ",3,3,155,Verified Business
"110m² Apartment for Sale in Mountain View iCity, New Cairo , Maintenance Included in price",Apartment," 4,690,000.00 ",2,2,110,
Apartment for Sale Directly Facing Al Rehab City in Creek Town Compound,Apartment," 8,840,000.00 ",2,2,140,
Apartment for sale with private garden ready to move in with kitchen Special price 96m 2 bedrooms in Al Rehab 1 - Phase 4 prime location - New Cairo,Apartment," 5,300,000.00 ",2,1,96,
Apartment for Sale Directly Facing Al Rehab City in Creek Town Compound,Apartment," 8,775,000.00 ",3,2,165,
Apartment for Sale Directly Facing Al Rehab City in Creek Town Compound,Apartment," 6,240,000.00 ",2,2,128,
Fully finished apartment with immediate delivery for sale in Amorada Compound – New Cairo,Apartment," 7,000,000.00 ",2,2,145,
Fully finished apartment with immediate delivery for sale in Amorada Compound – New Cairo,Apartment," 10,000,000.00 ",3,3,186,
Fully finished apartment with immediate delivery for sale in Amorada Compound – New Cairo,Apartment," 13,000,000.00 ",3,3,221,
"Apartment for sale, 140 sq m, with a 50% discount for a limited time in Taj City Compound, New Cairo, First Settlement, opposite Cairo International A",Apartment," 6,500,000.00 ",3,3,140,
Apartment for sale in New Cairo Fifth Settlement Andalusia area,Apartment," 4,754,000.00 ",2,2,117,Verified Business
شقة بكمبوند دار مصر الاندلس تشطيب الترا سوبر لوكس للبيع انا المالك,," 4,500,000.00 ",3,3,140,
"Lowest down payment apartment north direction with installments 2bedrooms for sale , lowest price in hyde park fifth settlement new cairo",Apartment," 8,877,600.00 ",2,2,118,Verified Business
Luxury 235m² Sky Garden for Sale in Mountain View iCity – Prime Location,," 8,000,000.00 ",3,4,235,
Al Rehab Compound,," 6,100,000.00 ",3,3,155,Verified Business
Apartment for sale 225 sq m 4 bedrooms in Palm Hills Compound Fifth Settlement New Cairo,Apartment," 10,762,200.00 ",4,5,226,Verified Business
For sale apartment finished with acs ready to move 192m view landscape in compound hyde park new cairo fifth settlement,Apartment," 10,380,000.00 ",3,3,192,Verified Business
" 350 sqm Penthouse for Sale on South 90 Street – New Cairo | Only 8,500,000 EGP – Ready to Move ",," 8,500,000.00 ",4,2,350,
Apartment 144m with Garden 60m Prime Location in  District 5 New Cairo,Apartment," 13,139,000.00 ",2,3,144,Verified Business
Mountain View iCity | North-Facing Sky Loft with Central Park View – Ready to Move,," 7,350,000.00 ",3,4,135,
"Apartment for sale in a prime location within Taj City Compound, featuring the project's earliest delivery.",Apartment," 5,600,000.00 ",2,2,130,Verified Business
"The Last Hotel-Style Unit Remaining in EDEN South – With Dressing Area, Completely Pristine!",," 6,000,000.00 ",3,3,170,
For sale best price for apartment ready to move double view landscape 3bedrooms price include club membership in mountain view i-city 5th settlement,Apartment," 6,250,000.00 ",3,3,170,Verified Business
"Special price! Immediate delivery with a premium landscape view in a prime Fifth Settlement compound, near Al Rehab & Waterway on North 90 Street.",," 6,200,000.00 ",2,2,120,
Lowest price apartment corner ready to move 175m garden 75m view landscape in best location in mountain view i-city fifth settlement,Apartment," 7,500,000.00 ",4,3,175,Verified Business
"Studio for sale at half the price in Taj City – First Settlement, just minutes away from Nasr City.",," 2,530,000.00 ",1,1,58,Verified Business
Al Rehab Compound,," 6,900,000.00 ",3,2,155,Verified Business
Apartment for Sale – Semi-Finished – Yasmeen 2 – First Settlement,Apartment," 8,500,000.00 ",3,2,200,
"Lowest Price Immediate Delivery Apartment in Fifth Settlement [Ready for Viewing] – Al Ashrafia Compound, Prime Location near Waterway, El-Teseen Stre",Apartment," 7,920,000.00 ",3,2,165,
"Ready to Move with 10% Down Payment | Lagoon View Homes on Suez Road | Prime Location Near Cairo Airport, New Cairo & Al Rehab  Is this conversation",," 12,410,000.00 ",3,3,170,
"Own a duplex in Creek Town, New Cairo. Prime location with direct lake view. 195 sqm BUA + 100 sqm garden.",," 14,241,000.00 ",3,3,195,
Apartment 162 SQM for Sale in Galleria Moon Valley – Golden Square,Apartment," 7,500,000.00 ",3,2,162,
"Immediate Delivery Apartment – RTM & Fully Finished USL | Special Discount | Park & Lagoon View | Prime Location in New Cairo, Near Mountain View,",Apartment," 7,900,000.00 ",3,3,167,
Now available in Al Rehab City ground floor apartment + private garden area 136m أصبحت متاحة الآن في مدينة الرحاب شقة ارضي + حديقة خاصة مساحة 136م,Apartment," 8,200,000.00 ",3,3,136,
Apartment for Sale in Gardenia Heights 3 – New Cairo (Fifth Settlement),Apartment," 4,000,000.00 ",3,2,210,
"For sale: an ground-floor apartment with a garden in a compound, The Square, immediate delivery For sale: a ground-floor apartment with a garden in a compound, The Square, immediate delivery",Apartment," 7,000,000.00 ",2,1,140,
Ready to Showing Any Time Apartment Fully Furnished For Sale In Waterway in Special Price - New Cairo,Apartment," 15,500,000.00 ",3,2,170,Verified Business
"For faster sale in Al Rehab, an apartment 155 square meters, wide view, garden corner in Phase Five",Apartment," 7,200,000.00 ",3,3,155,
"Apartment for sale in front of the Public Prosecutor's Office, Fifth Settlement, in Mountain View Compound,ready to move with a 40% cash discoun",Apartment," 10,200,000.00 ",3,2,140,
Studio for Sale in Taj City – Lake Park ready to move,," 3,500,000.00 ",1,1,66,
For sale Ground floor apartment with garden 110 sq m in Taj Sultan New Cairo Prime Location,Apartment," 7,250,000.00 ",2,2,110,Verified Business
Ready to Showing Any Time Apartment Fully Furnished For Sale In Waterway in Special Price - New Cairo,Apartment," 15,500,000.00 ",3,2,170,Verified Business
"For faster sale in Al Rehab, an apartment 155 square meters, wide view, garden corner in Phase Five",Apartment," 7,200,000.00 ",3,3,155,
"Apartment for sale in front of the Public Prosecutor's Office, Fifth Settlement, in Mountain View Compound,ready to move with a 40% cash discoun",Apartment," 10,200,000.00 ",3,2,140,
Studio for Sale in Taj City – Lake Park ready to move,," 3,500,000.00 ",1,1,66,
For sale Ground floor apartment with garden 110 sq m in Taj Sultan New Cairo Prime Location,Apartment," 7,250,000.00 ",2,2,110,Verified Business
Own an apartment of 3 rooms in Al Rehabilitation (rehab city) area 131 square meters two steps from Abu Bakr Mosque with Garden view I cannot translate this sentence,Apartment," 7,000,000.00 ",3,2,131,
"Apartment for sale 191m Hyde Park New Cairo , ready to move , View landscape & pool , near of Mivida",Apartment," 11,235,000.00 ",3,3,191,Verified Business
"apartment for sale 155m Mountain View icity New Cairo , View landscape, near of Palm Hills",Apartment," 6,780,000.00 ",3,3,155,Verified Business
Fully Finished Apartment  Ready To Move Very Prime Location  For Sale  With AC's  Open View At Compound Waterway New Cairo,Apartment," 15,000,000.00 ",3,3,166,Verified Business
Amazing Opportunity ( Penthouse For Sale Under Market Price ) Lake View2,," 21,456,000.00 ",3,4,243,
Apartment for sale in iCity by Mountain View - Lowest price on the market - Prime location - Investment opportunity,Apartment," 6,000,000.00 ",2,2,131,
Apartment for sale in iCity by Mountain View - Lowest price on the market - Prime location - Investment opportunity,Apartment," 6,000,000.00 ",2,2,131,
"Apartment for sale in Fifth Settlement, Fifth Square Compound, ready to move fully finished to a super deluxe standard with AC , open view,",Apartment," 10,500,000.00 ",3,2,150,Verified Business
"400 sqm apartment for sale in South Academy, at a special price, fully finished and immediate receipt, in a distinguished location in the Fifth Settle",Apartment," 14,000,000.00 ",4,4,400,Verified Business
Fully finished apartment in sodic with a wide garden and pool view,Apartment," 18,000,000.00 ",3,3,275,Verified Business
"Apartment for sale opposite the  (AUC), Ready to move in Azad Compound, Fifth Settlement",Apartment," 8,800,000.00 ",3,3,171,
Apartment Ready To Move Fully Finished For Sale View Landscape Very Prime Location In Mountain View I City Near To AUC | New Cairo,Apartment," 8,300,000.00 ",3,3,170,Verified Business
Prime Living Opportunity in New Cairo - Leila compound,," 8,700,000.00 ",3,2,165,Verified Business
140m² Apartment + 50m² Garden for Sale in Mountain View iCity – Ready to Move,Apartment," 5,500,000.00 ",2,3,140,
"Ready-to-move-in apartment for sale (3 rooms) in a distinguished area in Rehab, with installments",Apartment," 7,500,000.00 ",3,2,170,Verified Business
"duplex  for sale 211m Hyde Park New Cairo , ready to move , View landscape , near of Mivida",," 13,200,000.00 ",3,3,211,Verified Business
"Apartment Ready To Move For Sale With Garden Fully Finished With ACS  Prime Location In Mountain View I City, Fifth Settlement | New Cairo",Apartment," 9,290,000.00 ",3,3,145,Verified Business
"Apartment For Sale With Garden Fully Finished Prime Location In Mountain View I City, Fifth Settlement | Near the American University AUC | New Cairo",Apartment," 8,190,000.00 ",3,2,125,Verified Business
Apartment for sale in Fifth Settlement two bedrooms in the Al Qarnafel area with only a 5% down payment and installments over 10 years in Kin Compo,Apartment," 6,400,000.00 ",2,2,110,Verified Business
Apartment for sale in Fifth Settlement two bedrooms in the Al Qarnafel area with only a 5% down payment and installments over 10 years in Kin Compo,Apartment," 6,800,000.00 ",2,2,125,Verified Business
